,Beta,Gamma,t,min(S),max(I)
119,0.25,0.7,18.710213793602573,123,7343
120,0.25,0.75,0.11773711667928193,12979,2
121,0.25,0.8,16.3955268239594,210,6782
122,0.25,0.85,15.723610480359993,45,8096
123,0.25,0.9,0.4256683039505241,12805,1
124,0.25,0.95,0.10371587553611172,12842,2
125,0.25,1.0,11.480209625992346,170,6787
126,0.3,0.01,1262.8458268334896,0,12672
127,0.3,0.05,195.48946278956,0,12378
128,0.3,0.1,95.85350709148537,0,12087
129,0.3,0.15,67.03663720642224,0,11620
130,0.3,0.2,47.49220127000537,0,11127
131,0.3,0.25,37.314794859790226,0,10870
132,0.3,0.3,28.535229202341746,0,10561
133,0.3,0.35,28.389804214238893,1,9663
134,0.3,0.4,24.01152658041284,6,9816
135,0.3,0.45,29.241507623148102,2,10094
136,0.3,0.5,18.583346094104694,8,9036
137,0.3,0.55,19.07923476787681,0,9953
138,0.3,0.6,14.8100956326514,4,9868
139,0.3,0.65,14.70852047014908,34,8301
140,0.3,0.7,14.372107935483386,11,8862
141,0.3,0.75,14.002443363547389,60,7893
142,0.3,0.8,14.941362850548193,44,7995
143,0.3,0.85,12.365131643642824,29,8367
144,0.3,0.9,13.192080196965511,41,8047
145,0.3,0.95,10.045030711867321,38,7990
146,0.3,1.0,10.331742079899792,41,8010
147,0.35,0.01,920.8977600191583,0,12795
148,0.35,0.05,201.9591280660691,0,11945
149,0.35,0.1,106.9197552148293,0,12106
150,0.35,0.15,62.45276508468235,0,11883
151,0.35,0.2,55.12379049159199,0,10992
152,0.35,0.25,41.33282109795411,0,11092
153,0.35,0.3,30.30436927261557,0,11156
154,0.35,0.35,28.47406060677557,0,10189
155,0.35,0.4,25.457738808622913,0,10297
156,0.35,0.45,22.468273841330994,5,9708
157,0.35,0.5,20.98038324821469,0,10267
158,0.35,0.55,0.030088164214050306,12847,1
159,0.35,0.6,17.752349558289648,0,9820
160,0.35,0.65,17.93135462396259,3,9572
161,0.35,0.7,15.510004605697105,1,9658
162,0.35,0.75,13.30549668479817,2,9399
163,0.35,0.8,12.309033094764864,3,9367
164,0.35,0.85,13.365679162477305,5,9255
165,0.35,0.9,14.02944492962134,72,7749
166,0.35,0.95,12.132633724247595,2,9411
167,0.35,1.0,11.517568047477107,15,8768
168,0.4,0.01,898.3794740268384,0,12791
169,0.4,0.05,191.25910269766982,0,12496
170,0.4,0.1,96.53666024366704,0,12226
171,0.4,0.15,62.548563505509385,0,11938
172,0.4,0.2,40.34145223512081,0,11459
173,0.4,0.25,38.54725774688725,0,11677
174,0.4,0.3,31.984546462752963,0,11307
175,0.4,0.35,0.047634267747187035,13031,1
176,0.4,0.4,28.290421387512666,0,11276
177,0.4,0.45,26.257294832743177,0,10708
178,0.4,0.5,24.52949952658704,0,10690
179,0.4,0.55,18.068633113919454,0,9946
180,0.4,0.6,16.673216250980197,0,10346
181,0.4,0.65,19.297041022552836,0,10362
182,0.4,0.7,15.447866769007351,0,10212
183,0.4,0.75,13.307312407661385,3,9470
184,0.4,0.8,11.526522376806215,1,10353
185,0.4,0.85,11.091361271553657,0,9968
186,0.4,0.9,12.82659491080128,4,9307
187,0.4,0.95,13.526931929559662,1,9597
188,0.4,1.0,11.103712199079938,6,9179
189,0.45,0.01,946.051335889548,0,12947
190,0.45,0.05,213.0679027356616,0,12543
191,0.45,0.1,103.86912159315578,0,12262
192,0.45,0.15,79.48083690795006,0,11782
193,0.45,0.2,53.988902578956264,0,11814
194,0.45,0.25,34.069485063565786,0,11861
195,0.45,0.3,27.869335917125806,0,11421
196,0.45,0.35,24.92288805567129,0,11346
197,0.45,0.4,32.691907451159054,0,11661
198,0.45,0.45,20.230601673960468,0,11477
199,0.45,0.5,22.361237711817225,0,10833
200,0.45,0.55,17.07425405165865,0,11089
201,0.45,0.6,15.736834374298274,0,10858
202,0.45,0.65,20.069853913656086,0,10201
203,0.45,0.7,14.58724933430994,0,10621
204,0.45,0.75,15.054348352852793,0,10892
205,0.45,0.8,15.035266511171393,0,10817
206,0.45,0.85,10.845170341099449,0,10062
207,0.45,0.9,11.518835976306525,0,10607
208,0.45,0.95,10.203062113462114,1,9814
209,0.45,1.0,9.557803011348769,1,9659
210,0.5,0.01,1072.5630060448996,0,12861
211,0.5,0.05,184.2153279277573,0,12583
212,0.5,0.1,97.14895449076128,0,12273
213,0.5,0.15,52.74589291278803,0,12431
214,0.5,0.2,52.856393283865785,0,12210
215,0.5,0.25,42.19620465529572,0,11850
216,0.5,0.3,0.10476379468358353,12875,1
217,0.5,0.35,27.79878753681165,0,11121
218,0.5,0.4,24.58147181797813,0,11784
219,0.5,0.45,19.715573071167203,0,11198
220,0.5,0.5,0.0933176802522221,12769,1
221,0.5,0.55,23.014630801185522,0,10764
222,0.5,0.6,18.965723936039623,0,10471
223,0.5,0.65,17.033017697483615,1,9316
224,0.5,0.7,14.826934951805509,0,10938
225,0.5,0.75,13.406397052837017,1,10072
226,0.5,0.8,12.14495604609432,0,10530
227,0.5,0.85,9.790045542588157,0,10896
228,0.5,0.9,12.35682586419234,0,10469
229,0.5,0.95,11.903668688082774,28,8316
230,0.5,1.0,11.483710187385194,0,9225
231,0.55,0.01,1073.0732137237146,0,12861
232,0.55,0.05,186.53163993714,0,12593
